tweet_id,author_handle,author_name,posted_at,source_client,text,canonical_text,is_retweet,is_quote,content_tweet_id,content_author_handle,content_author_name,content_created_at,content_text,content_canonical_text,hashtags_raw,hashtags,mentions_raw,mentions
2044369074805690811,n_palaiopanou,Nena Palaiopanou,2026-04-15T10:55:44+00:00,Twitter for Android,"Η κακοψυχιά, η μικροψυχία, ο φθόνος & τα κομπλεξ, όσο μασκάρεμα & αν κάνεις να τα κρύψεις, όσο & αν πλασάρεις την ψεύτικη εικόνα του ""καλού παιδιού"", κάποιες στιγμές θα βγαίνουν πάντα στην επιφάνεια για να δείχνουν σε όλους ποιος πραγματικά είναι είναι ο καθένας.

Η αλήθεια έχει μια εγγενή δύναμη: ο,τι & αν κάνεις για να την κρύψεις ΠΑΝΤΑ θα υπερισχύσει.
Magna est veritas et praevalebit.

Ο Μήτσος @DimitrisSavvid4 λοιπόν, σας δείχνει την αλήθεια του & το ποιος ΠΡΆΓΜΑΤΙΚΑ είναι, σε αυτό του το κείμενο που ακολουθεί στο σκριν👇
Μην γίνετε ΠΟΤΕ στην ζωή σας ""Μήτσος"".

Και κάτι τελευταίο: ΔΕΝ ΕΙΝΑΙ ΟΛΑ ΠΟΛΙΤΙΚΗ.","η κακοψυχιά, η μικροψυχία, ο φθόνοσ & τα κομπλεξ, όσο μασκάρεμα & αν κάνεισ να τα κρύψεισ, όσο & αν πλασάρεισ την ψεύτικη εικόνα του ""καλού παιδιού"", κάποιεσ στιγμέσ θα βγαίνουν πάντα στην επιφάνεια για να δείχνουν σε όλουσ ποιοσ πραγματικά είναι είναι ο καθένασ. η αλήθεια έχει μια εγγενή δύναμη: ο,τι & αν κάνεισ για να την κρύψεισ παντα θα υπερισχύσει. magna est veritas et praevalebit. ο μήτσοσ @dimitrissavvid4 λοιπόν, σασ δείχνει την αλήθεια του & το ποιοσ πράγματικα είναι, σε αυτό του το κείμενο που ακολουθεί στο σκριν👇 μην γίνετε ποτε στην ζωή σασ ""μήτσοσ"". και κάτι τελευταίο: δεν ειναι ολα πολιτικη.",False,True,2044369074805690811,n_palaiopanou,Nena Palaiopanou,2026-04-15T10:55:44+00:00,"Η κακοψυχιά, η μικροψυχία, ο φθόνος & τα κομπλεξ, όσο μασκάρεμα & αν κάνεις να τα κρύψεις, όσο & αν πλασάρεις την ψεύτικη εικόνα του ""καλού παιδιού"", κάποιες στιγμές θα βγαίνουν πάντα στην επιφάνεια για να δείχνουν σε όλους ποιος πραγματικά είναι είναι ο καθένας.

Η αλήθεια έχει μια εγγενή δύναμη: ο,τι & αν κάνεις για να την κρύψεις ΠΑΝΤΑ θα υπερισχύσει.
Magna est veritas et praevalebit.

Ο Μήτσος @DimitrisSavvid4 λοιπόν, σας δείχνει την αλήθεια του & το ποιος ΠΡΆΓΜΑΤΙΚΑ είναι, σε αυτό του το κείμενο που ακολουθεί στο σκριν👇
Μην γίνετε ΠΟΤΕ στην ζωή σας ""Μήτσος"".

Και κάτι τελευταίο: ΔΕΝ ΕΙΝΑΙ ΟΛΑ ΠΟΛΙΤΙΚΗ.","η κακοψυχιά, η μικροψυχία, ο φθόνοσ & τα κομπλεξ, όσο μασκάρεμα & αν κάνεισ να τα κρύψεισ, όσο & αν πλασάρεισ την ψεύτικη εικόνα του ""καλού παιδιού"", κάποιεσ στιγμέσ θα βγαίνουν πάντα στην επιφάνεια για να δείχνουν σε όλουσ ποιοσ πραγματικά είναι είναι ο καθένασ. η αλήθεια έχει μια εγγενή δύναμη: ο,τι & αν κάνεισ για να την κρύψεισ παντα θα υπερισχύσει. magna est veritas et praevalebit. ο μήτσοσ @dimitrissavvid4 λοιπόν, σασ δείχνει την αλήθεια του & το ποιοσ πράγματικα είναι, σε αυτό του το κείμενο που ακολουθεί στο σκριν👇 μην γίνετε ποτε στην ζωή σασ ""μήτσοσ"". και κάτι τελευταίο: δεν ειναι ολα πολιτικη.",,,DimitrisSavvid4,dimitrissavvid4
2044374385717367153,HFirstpriest,"Κυρά Ζαχάροβα, η πεθερά σας",2026-04-15T11:16:50+00:00,Twitter Web App,@n_palaiopanou Για τα σκουπίδια τους ζαίους όλα είναι πολιτική.,@n_palaiopanou για τα σκουπίδια τουσ ζαίουσ όλα είναι πολιτική.,False,False,2044374385717367153,HFirstpriest,"Κυρά Ζαχάροβα, η πεθερά σας",2026-04-15T11:16:50+00:00,@n_palaiopanou Για τα σκουπίδια τους ζαίους όλα είναι πολιτική.,@n_palaiopanou για τα σκουπίδια τουσ ζαίουσ όλα είναι πολιτική.,,,n_palaiopanou,n_palaiopanou
2044375760102650090,myga_tse,Myga Tse,2026-04-15T11:22:18+00:00,Twitter for Android,@n_palaiopanou Να τον χαίρονται εκεί στην Ολλανδία και όσο λιγότεροι υπάνθρωποι μένουν εδώ τόσο καλύτερα.,@n_palaiopanou να τον χαίρονται εκεί στην ολλανδία και όσο λιγότεροι υπάνθρωποι μένουν εδώ τόσο καλύτερα.,False,False,2044375760102650090,myga_tse,Myga Tse,2026-04-15T11:22:18+00:00,@n_palaiopanou Να τον χαίρονται εκεί στην Ολλανδία και όσο λιγότεροι υπάνθρωποι μένουν εδώ τόσο καλύτερα.,@n_palaiopanou να τον χαίρονται εκεί στην ολλανδία και όσο λιγότεροι υπάνθρωποι μένουν εδώ τόσο καλύτερα.,,,n_palaiopanou,n_palaiopanou
2044380203003081128,GeorghyZhukov,Georghy Zhukov,2026-04-15T11:39:57+00:00,Twitter for iPhone,"Εν τω μεταξύ, η προανακριτική έρευνα που διεξάγεται στην Κύπρο με τη συνδρομή της Europol καταλήγει ότι τα μηνύματα που φέρεται να ανταλλάσσει ο Μυλωνάκης είναι κατασκευασμένα από την ίδια την περιβόητη Σάντη μέσω τριών εφαρμογών τις οποίες επιχείρησε να διαγράψει από το τηλέφωνο της. Την εκδοχή αυτή επιβεβαιώνει ένορκα και η ίδια. 

Link : https://t.co/TBXIz2uQjx","εν τω μεταξύ, η προανακριτική έρευνα που διεξάγεται στην κύπρο με τη συνδρομή τησ europol καταλήγει ότι τα μηνύματα που φέρεται να ανταλλάσσει ο μυλωνάκησ είναι κατασκευασμένα από την ίδια την περιβόητη σάντη μέσω τριών εφαρμογών τισ οποίεσ επιχείρησε να διαγράψει από το τηλέφωνο τησ. την εκδοχή αυτή επιβεβαιώνει ένορκα και η ίδια. link :",False,False,2044380203003081128,GeorghyZhukov,Georghy Zhukov,2026-04-15T11:39:57+00:00,"Εν τω μεταξύ, η προανακριτική έρευνα που διεξάγεται στην Κύπρο με τη συνδρομή της Europol καταλήγει ότι τα μηνύματα που φέρεται να ανταλλάσσει ο Μυλωνάκης είναι κατασκευασμένα από την ίδια την περιβόητη Σάντη μέσω τριών εφαρμογών τις οποίες επιχείρησε να διαγράψει από το τηλέφωνο της. Την εκδοχή αυτή επιβεβαιώνει ένορκα και η ίδια. 

Link : https://t.co/TBXIz2uQjx","εν τω μεταξύ, η προανακριτική έρευνα που διεξάγεται στην κύπρο με τη συνδρομή τησ europol καταλήγει ότι τα μηνύματα που φέρεται να ανταλλάσσει ο μυλωνάκησ είναι κατασκευασμένα από την ίδια την περιβόητη σάντη μέσω τριών εφαρμογών τισ οποίεσ επιχείρησε να διαγράψει από το τηλέφωνο τησ. την εκδοχή αυτή επιβεβαιώνει ένορκα και η ίδια. link :",,,,
2044384725381296546,hermesjk,Stranger ante portas🇬🇷🇮🇱🇺🇦☘️,2026-04-15T11:57:56+00:00,Twitter Web App,@GeorghyZhukov Πότε επιτέλους θα ασχοληθούν σοβαρά με τις μηχανοραφίες των πρακτόρων και των χρήσιμων ηλιθίων της Ρωσίας;,@georghyzhukov πότε επιτέλουσ θα ασχοληθούν σοβαρά με τισ μηχανοραφίεσ των πρακτόρων και των χρήσιμων ηλιθίων τησ ρωσίασ;,False,False,2044384725381296546,hermesjk,Stranger ante portas🇬🇷🇮🇱🇺🇦☘️,2026-04-15T11:57:56+00:00,@GeorghyZhukov Πότε επιτέλους θα ασχοληθούν σοβαρά με τις μηχανοραφίες των πρακτόρων και των χρήσιμων ηλιθίων της Ρωσίας;,@georghyzhukov πότε επιτέλουσ θα ασχοληθούν σοβαρά με τισ μηχανοραφίεσ των πρακτόρων και των χρήσιμων ηλιθίων τησ ρωσίασ;,,,GeorghyZhukov,georghyzhukov
2044388674285035670,dkDurcGYTIpZdKl,🦋 xiki 🦋,2026-04-15T12:13:37+00:00,Twitter for Android,@GeorghyZhukov @ESyrokos Εισαγγελέας υπάρχει ρε γαμωτο?,@georghyzhukov @esyrokos εισαγγελέασ υπάρχει ρε γαμωτο?,False,False,2044388674285035670,dkDurcGYTIpZdKl,🦋 xiki 🦋,2026-04-15T12:13:37+00:00,@GeorghyZhukov @ESyrokos Εισαγγελέας υπάρχει ρε γαμωτο?,@georghyzhukov @esyrokos εισαγγελέασ υπάρχει ρε γαμωτο?,,,GeorghyZhukov|ESyrokos,georghyzhukov|esyrokos
2044389249319878750,christoskostaki,christos kostakis,2026-04-15T12:15:54+00:00,Twitter for Android,@n_palaiopanou Πάρε και ένα από το σιχαμα του Βελόπουλου https://t.co/B3GLYvSWI2,@n_palaiopanou πάρε και ένα από το σιχαμα του βελόπουλου,False,False,2044389249319878750,christoskostaki,christos kostakis,2026-04-15T12:15:54+00:00,@n_palaiopanou Πάρε και ένα από το σιχαμα του Βελόπουλου https://t.co/B3GLYvSWI2,@n_palaiopanou πάρε και ένα από το σιχαμα του βελόπουλου,,,n_palaiopanou,n_palaiopanou
2044395440884301872,TheocharousH,Harry Theocharous,2026-04-15T12:40:30+00:00,Twitter for iPhone,@GeorghyZhukov Πρέπει να πληρώσουν,@georghyzhukov πρέπει να πληρώσουν,False,True,2044395440884301872,TheocharousH,Harry Theocharous,2026-04-15T12:40:30+00:00,@GeorghyZhukov Πρέπει να πληρώσουν,@georghyzhukov πρέπει να πληρώσουν,,,GeorghyZhukov,georghyzhukov
2044398016333811850,n_palaiopanou,Nena Palaiopanou,2026-04-15T12:50:44+00:00,Twitter for Android,@christoskostaki ...δεν έχω λόγια!,@christoskostaki ...δεν έχω λόγια!,False,False,2044398016333811850,n_palaiopanou,Nena Palaiopanou,2026-04-15T12:50:44+00:00,@christoskostaki ...δεν έχω λόγια!,@christoskostaki ...δεν έχω λόγια!,,,christoskostaki,christoskostaki
2044398951466414105,Tasos3025749307,Τάσος,2026-04-15T12:54:27+00:00,Twitter Web App,@GeorghyZhukov Αμα δεν το πει ο Κουσουλός με την περούκα και τα βγαλμένα φρύδια εγώ δεν πιστεύω τίποτα,@georghyzhukov αμα δεν το πει ο κουσουλόσ με την περούκα και τα βγαλμένα φρύδια εγώ δεν πιστεύω τίποτα,False,False,2044398951466414105,Tasos3025749307,Τάσος,2026-04-15T12:54:27+00:00,@GeorghyZhukov Αμα δεν το πει ο Κουσουλός με την περούκα και τα βγαλμένα φρύδια εγώ δεν πιστεύω τίποτα,@georghyzhukov αμα δεν το πει ο κουσουλόσ με την περούκα και τα βγαλμένα φρύδια εγώ δεν πιστεύω τίποτα,,,GeorghyZhukov,georghyzhukov
